Timestamp,ObjectName,correct
211.23,ERPTagsA1 ERPFlashTag2D (2) ERPFlashTagFeedback,0
219.66,ERPTagsA1 ERPFlashTag2D (4) ERPFlashTagFeedback,1
223.96,ERPTagsA2 ERPFlashTag2D (2) ERPFlashTagFeedback,1
229.73,ERPTagsA3 ERPFlashTag2D (3) ERPFlashTagFeedback,1
233.29,ERPTagsA4 ERPFlashTag2D (3) ERPFlashTagFeedback,0
235.09,ERPTagsA4 ERPFlashTag2D (4) ERPFlashTagFeedback,0
240.08,ERPTagsA4 ERPFlashTag2D (4) ERPFlashTagFeedback,0
243.96,ERPTagsA5 ERPFlashTag2D (3) ERPFlashTagFeedback,1
251.22,ERPTagsA6 ERPFlashTag2D (2) ERPFlashTagFeedback,1
256.02,ERPTagsA7 ERPFlashTag2D (4) ERPFlashTagFeedback,1
259.79,ERPTagsA8 ERPFlashTag2D (1) ERPFlashTagFeedback,1
