Timestamp,ObjectName,correct
289.14,ERPTagsA1 ERPFlashTag2D (4) ERPFlashTagFeedback,1
297.37,ERPTagsA2 ERPFlashTag2D (2) ERPFlashTagFeedback,1
301.00,ERPTagsA3 ERPFlashTag2D (2) ERPFlashTagFeedback,0
304.57,ERPTagsA3 ERPFlashTag2D (3) ERPFlashTagFeedback,1
308.74,ERPTagsA4 ERPFlashTag2D (1) ERPFlashTagFeedback,1
312.29,ERPTagsA5 ERPFlashTag2D (1) ERPFlashTagFeedback,0
315.21,ERPTagsA5 ERPFlashTag2D (3) ERPFlashTagFeedback,1
323.62,ERPTagsA6 ERPFlashTag2D (2) ERPFlashTagFeedback,1
334.80,ERPTagsA7 ERPFlashTag2D (4) ERPFlashTagFeedback,1
340.15,ERPTagsA8 ERPFlashTag2D (1) ERPFlashTagFeedback,1
