Timestamp,ObjectName,correct
849.08,ERPTagsS1 ERPFlashTag2D (1) ERPFlashTagFeedback,1
856.92,ERPTagsS2 ERPFlashTag2D (3) ERPFlashTagFeedback,1
868.84,ERPTagsS3 ERPFlashTag2D (4) ERPFlashTagFeedback,1
872.19,ERPTagsS4 ERPFlashTag2D (4) ERPFlashTagFeedback,0
877.18,ERPTagsS4 ERPFlashTag2D (2) ERPFlashTagFeedback,1
880.22,ERPTagsS5 ERPFlashTag2D (2) ERPFlashTagFeedback,0
884.93,ERPTagsS5 ERPFlashTag2D (4) ERPFlashTagFeedback,1
894.81,ERPTagsS6 ERPFlashTag2D (1) ERPFlashTagFeedback,1
897.88,ERPTagsS7 ERPFlashTag2D (1) ERPFlashTagFeedback,0
898.93,ERPTagsS7 ERPFlashTag2D (1) ERPFlashTagFeedback,0
899.93,ERPTagsS7 ERPFlashTag2D (1) ERPFlashTagFeedback,0
907.76,ERPTagsS8 ERPFlashTag2D (2) ERPFlashTagFeedback,1
