Timestamp,ObjectName,correct
380.62,ERPTagsS1 ERPFlashTag2D (4) ERPFlashTagFeedback,0
382.76,ERPTagsS1 ERPFlashTag2D (1) ERPFlashTagFeedback,1
385.87,ERPTagsS2 ERPFlashTag2D (3) ERPFlashTagFeedback,1
390.65,ERPTagsS3 ERPFlashTag2D (4) ERPFlashTagFeedback,1
395.17,ERPTagsS4 ERPFlashTag2D (2) ERPFlashTagFeedback,1
399.38,ERPTagsS5 ERPFlashTag2D (1) ERPFlashTagFeedback,0
400.29,ERPTagsS5 ERPFlashTag2D (4) ERPFlashTagFeedback,1
403.40,ERPTagsS6 ERPFlashTag2D (1) ERPFlashTagFeedback,1
414.01,ERPTagsS7 ERPFlashTag2D (3) ERPFlashTagFeedback,1
422.81,ERPTagsS8 ERPFlashTag2D (2) ERPFlashTagFeedback,1
