Timestamp,ObjectName,correct
394.52,ERPTagsW 1 ERPFlashTag2D (4) ERPFlashTagFeedback,0
397.52,ERPTagsW 1 ERPFlashTag2D (3) ERPFlashTagFeedback,1
403.86,ERPTagsW 2 ERPFlashTag2D (3) ERPFlashTagFeedback,1
414.06,ERPTagsW 3 ERPFlashTag2D (3) ERPFlashTagFeedback,0
414.93,ERPTagsW 3 ERPFlashTag2D (2) ERPFlashTagFeedback,1
433.67,ERPTagsW 4 ERPFlashTag2D (4) ERPFlashTagFeedback,1
444.88,ERPTagsW 5 ERPFlashTag2D (1) ERPFlashTagFeedback,1
453.46,ERPTagsW 6 ERPFlashTag2D (2) ERPFlashTagFeedback,1
458.53,ERPTagsW 7 ERPFlashTag2D (3) ERPFlashTagFeedback,1
469.36,ERPTagsW 8 ERPFlashTag2D (1) ERPFlashTagFeedback,1
