Timestamp,ObjectName,correct
184.63,ERPTagsW 1 ERPFlashTag2D (2) ERPFlashTagFeedback,0
185.67,ERPTagsW 1 ERPFlashTag2D (3) ERPFlashTagFeedback,1
191.22,ERPTagsW 2 ERPFlashTag2D (3) ERPFlashTagFeedback,1
197.80,ERPTagsW 3 ERPFlashTag2D (1) ERPFlashTagFeedback,0
199.18,ERPTagsW 3 ERPFlashTag2D (2) ERPFlashTagFeedback,1
206.34,ERPTagsW 4 ERPFlashTag2D (4) ERPFlashTagFeedback,1
212.32,ERPTagsW 5 ERPFlashTag2D (2) ERPFlashTagFeedback,0
213.51,ERPTagsW 5 ERPFlashTag2D (1) ERPFlashTagFeedback,1
220.55,ERPTagsW 6 ERPFlashTag2D (2) ERPFlashTagFeedback,1
225.85,ERPTagsW 7 ERPFlashTag2D (4) ERPFlashTagFeedback,0
227.15,ERPTagsW 7 ERPFlashTag2D (3) ERPFlashTagFeedback,1
233.99,ERPTagsW 8 ERPFlashTag2D (1) ERPFlashTagFeedback,1
